Item,Title,csv
uspop,Populations Recorded by the US Census,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/uspop.csv
volcano,Topographic Information on Auckland's Maunga Whau Volcano,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/volcano.csv
warpbreaks,The Number of Breaks in Yarn during Weaving,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/warpbreaks.csv
women,Average Heights and Weights for American Women,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/women.csv
acme,Monthly Excess Returns,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/acme.csv
aids,Delay in AIDS Reporting in England and Wales,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aids.csv
aircondit,Failures of Air-conditioning Equipment,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aircondit.csv
aircondit7,Failures of Air-conditioning Equipment,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aircondit7.csv
amis,Car Speeding and Warning Signs,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/amis.csv
aml,Remission Times for Acute Myelogenous Leukaemia,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/aml.csv
bigcity,Population of U.S. Cities,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/bigcity.csv
brambles,Spatial Location of Bramble Canes,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/brambles.csv
breslow,Smoking Deaths Among Doctors,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/breslow.csv
calcium,Calcium Uptake Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/calcium.csv
cane,Sugar-cane Disease Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/cane.csv
capability,Simulated Manufacturing Process Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/capability.csv
catsM,Weight Data for Domestic Cats,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/catsM.csv
cav,Position of Muscle Caveolae,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/cav.csv
cd4,CD4 Counts for HIV-Positive Patients,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/cd4.csv
channing,Channing House Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/channing.csv
city,Population of U.S. Cities,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/city.csv
claridge,Genetic Links to Left-handedness,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/claridge.csv
cloth,Number of Flaws in Cloth,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/cloth.csv
co.transfer,Carbon Monoxide Transfer,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/co.transfer.csv
coal,Dates of Coal Mining Disasters,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/coal.csv
darwin,Darwin's Plant Height Differences,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/darwin.csv
dogs,Cardiac Data for Domestic Dogs,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/dogs.csv
downs.bc,Incidence of Down's Syndrome in British Columbia,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/downs.bc.csv
ducks,Behavioral and Plumage Characteristics of Hybrid Ducks,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/ducks.csv
fir,Counts of Balsam-fir Seedlings,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/fir.csv
frets,Head Dimensions in Brothers,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/frets.csv
grav,Acceleration Due to Gravity,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/grav.csv
